PRECINCT NAME,Representative in Congress 17th Congressional District  ,Representative in Congress 17th Congressional District  ,Representative in Congress 17th Congressional District  ,Representative in Congress 17th Congressional District  ,Representative in Congress 17th Congressional District  ,Representative in Congress 17th Congressional District  ,Representative in Congress 17th Congressional District  ,                                                                                                                                           
,DEM,REP,CON,WOR,,,,                                                                                                                                                              
,Sean Patrick Maloney,Mike Lawler,Mike Lawler,Sean Patrick Maloney,WRITE-IN,OVER VOTES,UNDER VOTES,                                                                                                                                                                                   
Clarkstown 1 (Ward 1),182,187,14,5,0,0,7,
Clarkstown 2 (Ward 2),239,280,24,13,0,0,9,
Clarkstown 3 (Ward 3),90,206,11,10,0,0,4,
Clarkstown 4 (Ward 2),229,60,3,27,0,0,2,
Clarkstown 5 (Ward 3),90,155,24,6,1,0,4,
Clarkstown 6 (Ward 3),108,60,2,9,0,0,4,
Clarkstown 7 (Ward 2),93,192,25,4,1,0,7,
Clarkstown 8 (Ward 2),148,227,21,13,0,2,11,
Clarkstown 9 (Ward 1),300,275,24,8,1,0,8,
Clarkstown 10 (Ward 4),221,33,2,10,0,0,16,
Clarkstown 11 (Ward 4),243,302,25,18,0,0,4,
Clarkstown 12 (Ward 3),148,206,10,8,0,1,3,
Clarkstown 13 (Ward 1),152,198,21,8,0,0,5,
Clarkstown 14 (Ward 2),102,181,24,10,0,0,5,
Clarkstown 15 (Ward 3),177,194,13,10,0,0,5,
Clarkstown 16 (Ward 1),149,151,20,13,0,0,3,
Clarkstown 17 (Ward 2),174,254,27,9,0,0,8,
Clarkstown 18 (Ward 3),72,79,8,4,0,0,4,
Clarkstown 19 (Ward 4),202,293,37,10,1,0,10,
Clarkstown 20 (Ward 3),123,27,4,3,0,0,8,
Clarkstown 21 (Ward 4),131,17,3,2,2,0,12,
Clarkstown 22 (Ward 1),142,92,8,9,1,1,7,
Clarkstown 23 (Ward 2),282,105,8,39,0,0,9,
Clarkstown 24 (Ward 4),245,269,30,16,0,0,11,
Clarkstown 25 (Ward 1),138,150,10,9,0,0,3,
Clarkstown 26 (Ward 1),116,164,8,4,1,0,4,
Clarkstown 27 (Ward 4),206,304,28,9,0,0,7,
Clarkstown 28 (Ward 3),171,202,19,18,0,0,3,
Clarkstown 29 (Ward 1),249,199,31,10,1,0,11,
Clarkstown 30 (Ward 4),155,230,18,6,0,0,7,
Clarkstown 31 (Ward 4),304,277,16,16,0,0,8,
Clarkstown 32 (Ward 4),225,190,18,11,0,0,12,
Clarkstown 33 (Ward 3),108,134,9,7,0,0,7,
Clarkstown 34 (Ward 3),265,300,33,13,1,0,5,
Clarkstown 35 (Ward 3),172,85,5,9,0,0,3,
Clarkstown 36 (Ward 1),319,291,34,12,0,0,5,
Clarkstown 37 (Ward 1),240,197,20,6,0,0,7,
Clarkstown 38 (Ward 2),231,216,28,13,0,0,11,
Clarkstown 39 (Ward 3),156,133,15,12,0,0,12,
Clarkstown 40 (Ward 1),189,183,17,11,3,0,5,
Clarkstown 41 (Ward 3),219,98,11,5,1,0,7,
Clarkstown 42 (Ward 2),166,257,14,13,1,0,5,
Clarkstown 43 (Ward 2),325,262,28,26,0,0,6,
Clarkstown 44 (Ward 3),247,249,31,10,0,1,13,
Clarkstown 45 (Ward 3),149,246,32,4,0,0,7,
Clarkstown 46 (Ward 1),115,145,15,5,1,0,7,
Clarkstown 47 (Ward 3),232,266,16,15,0,0,15,
Clarkstown 48 (Ward 4),137,144,17,3,0,0,2,
Clarkstown 49 (Ward 3),289,79,8,30,0,0,7,
Clarkstown 50 (Ward 3),99,170,13,3,0,0,3,
Clarkstown 51 (Ward 2),253,258,25,18,1,0,9,
Clarkstown 52 (Ward 1),161,167,17,3,0,0,1,
Clarkstown 53 (Ward 1),149,150,11,8,0,0,3,
Clarkstown 54 (Ward 2),260,91,5,39,0,0,4,
Clarkstown 55 (Ward 2),207,239,22,13,0,0,5,
Clarkstown 56 (Ward 1),163,151,10,10,0,0,5,
Clarkstown 57 (Ward 3),236,253,22,11,0,0,7,
Clarkstown 58 (Ward 2),149,115,12,4,0,0,7,
Clarkstown 59 (Ward 1),241,212,28,19,1,0,2,
Clarkstown 60 (Ward 1),241,220,21,10,1,0,12,
Clarkstown 61 (Ward 2),180,313,27,4,0,0,9,
Clarkstown 62 (Ward 3),14,1,0,0,0,0,0,
Clarkstown 63 (Ward 2),155,137,13,16,1,0,7,
Clarkstown 64 (Ward 2),195,123,18,11,0,1,6,
Clarkstown 65 (Ward 4),160,252,22,7,0,0,9,
Clarkstown 66 (Ward 4),193,124,13,10,0,0,8,
Clarkstown 67 (Ward 1),237,245,26,15,1,0,11,
Clarkstown 68 (Ward 1),285,204,16,13,0,1,3,
Clarkstown 69 (Ward 1),243,133,4,11,0,1,10,
Clarkstown 70 (Ward 3),123,224,37,5,0,1,8,
Clarkstown 71 (Ward 4),73,117,9,2,0,0,2,
Clarkstown 72 (Ward 1),218,219,29,12,0,0,9,
Clarkstown 73 (Ward 2),424,335,38,9,0,0,26,
Clarkstown 74 (Ward 1),281,247,34,14,1,0,11,
Clarkstown 75 (Ward 4),287,213,26,15,0,0,12,
Clarkstown 76 (Ward 4),136,49,11,5,0,0,8,
Clarkstown 77 (Ward 2),116,155,8,9,0,0,1,
Clarkstown 78 (Ward 2),130,140,18,8,0,0,9,
Clarkstown 79 (Ward 4),255,89,33,10,0,0,7,
Clarkstown 80 (Ward 4),158,103,11,8,0,0,2,
Clarkstown 81 (Ward 3),228,278,27,20,0,0,13,
Clarkstown 82 (Ward 2),173,193,21,12,1,1,3,
Clarkstown 83 (Ward 4),222,133,10,18,0,0,12,
Clarkstown 84 (Ward 2),113,153,12,4,0,0,4,
Haverstraw 1,132,235,32,4,0,0,4,
Haverstraw 2,219,164,31,5,0,0,14,
Haverstraw 3,209,194,29,10,1,0,9,
Haverstraw 4,109,85,4,6,0,0,4,
Haverstraw 5,108,81,8,4,0,1,8,
Haverstraw 6,132,83,4,7,0,0,11,
Haverstraw 7,103,66,5,4,0,0,21,
Haverstraw 8,51,12,2,3,0,0,12,
Haverstraw 9,78,56,4,4,0,0,11,
Haverstraw 10,296,188,22,13,0,0,11,
Haverstraw 11,93,86,8,6,0,0,7,
Haverstraw 12,46,35,3,1,0,1,5,
Haverstraw 13,227,105,7,5,1,0,17,
Haverstraw 14,181,89,14,9,0,0,10,
Haverstraw 15,122,161,8,4,0,0,7,
Haverstraw 16,235,105,8,7,0,1,25,
Haverstraw 17,186,209,25,6,0,0,8,
Haverstraw 18,232,77,9,8,1,0,17,
Haverstraw 19,107,114,22,2,0,0,7,
Haverstraw 20,189,237,32,11,0,0,7,
Haverstraw 21,158,100,8,3,1,0,9,
Haverstraw 22,212,364,33,11,0,0,13,
Haverstraw 23,133,246,36,7,0,0,8,
Haverstraw 24,87,75,16,3,0,0,1,
Haverstraw 25,100,194,14,3,0,0,4,
Haverstraw 26,48,67,4,3,0,0,1,
Haverstraw 27,12,30,0,2,0,0,0,
Haverstraw 28,90,81,5,2,0,1,7,
Haverstraw 29,124,152,11,2,0,0,0,
Haverstraw 30,136,117,8,8,0,0,11,
Haverstraw 31,128,83,8,10,0,0,11,
Haverstraw 32,22,2,0,0,0,0,5,
Haverstraw 33,161,138,16,10,0,0,8,
Orangetown 1,514,194,16,28,1,0,8,
Orangetown 2,378,77,5,32,1,0,18,
Orangetown 3,131,263,27,8,0,0,5,
Orangetown 4,81,170,17,11,0,0,5,
Orangetown 5,304,59,9,29,0,0,11,
Orangetown 6,120,117,9,9,0,0,3,
Orangetown 7,204,38,5,43,1,0,15,
Orangetown 8,245,69,5,34,0,0,10,
Orangetown 9,258,421,47,14,0,0,17,
Orangetown 10,141,221,17,8,0,0,4,
Orangetown 11,390,75,18,61,2,0,5,
Orangetown 12,309,163,18,15,1,0,3,
Orangetown 13,206,161,24,12,0,0,5,
Orangetown 14,305,79,10,25,1,0,3,
Orangetown 15,139,47,4,15,2,0,4,
Orangetown 16,246,153,26,13,2,0,13,
Orangetown 17,145,295,32,8,1,0,6,
Orangetown 18,273,79,8,40,1,0,5,
Orangetown 19,105,253,33,10,0,0,1,
Orangetown 20,169,440,49,14,1,1,4,
Orangetown 21,205,154,19,16,0,0,2,
Orangetown 22,135,327,33,13,1,1,3,
Orangetown 23,76,259,38,2,0,0,7,
Orangetown 24,108,270,29,5,1,0,3,
Orangetown 25,84,258,19,4,0,0,3,
Orangetown 26,206,356,38,14,1,0,5,
Orangetown 27,106,247,24,4,1,0,3,
