PRECINCT NAME,State Senator 38th Senatorial District,State Senator 38th Senatorial District,State Senator 38th Senatorial District,State Senator 38th Senatorial District,State Senator 38th Senatorial District,State Senator 38th Senatorial District,State Senator 38th Senatorial District,                                                                                                                                                                     
,DEM,REP,CON,WOR,,,,                                                                                                                                                              
,Elijah Reichlin-,Bill Weber,Bill Weber,Elijah Reichlin-,WRITE-IN,OVER VOTES,UNDER VOTES,                                                                                                                                                                                             
Clarkstown 1 (Ward 1),180,183,18,4,0,0,10,
Clarkstown 2 (Ward 2),242,275,20,16,0,1,11,
Clarkstown 3 (Ward 3),92,199,12,9,0,0,9,
Clarkstown 4 (Ward 2),229,56,2,29,0,0,5,
Clarkstown 5 (Ward 3),92,144,27,3,2,0,12,
Clarkstown 6 (Ward 3),111,56,2,10,0,0,4,
Clarkstown 7 (Ward 2),88,193,24,8,0,0,9,
Clarkstown 8 (Ward 2),154,215,21,13,0,0,19,
Clarkstown 9 (Ward 1),294,273,25,10,1,0,13,
Clarkstown 10 (Ward 4),221,32,2,7,0,0,20,
Clarkstown 11 (Ward 4),236,301,25,19,0,0,11,
Clarkstown 12 (Ward 3),142,210,11,7,0,0,6,
Clarkstown 13 (Ward 1),146,198,21,9,2,0,8,
Clarkstown 14 (Ward 2),96,185,25,10,0,0,6,
Clarkstown 15 (Ward 3),183,183,13,10,0,0,10,
Clarkstown 16 (Ward 1),146,152,20,13,0,0,5,
Clarkstown 17 (Ward 2),175,248,25,7,1,0,16,
Clarkstown 18 (Ward 3),74,75,10,3,0,0,5,
Clarkstown 19 (Ward 4),203,286,36,13,1,0,14,
Clarkstown 20 (Ward 3),118,30,4,3,1,0,9,
Clarkstown 21 (Ward 4),134,13,3,2,1,0,14,
Clarkstown 22 (Ward 1),146,86,8,10,0,0,10,
Clarkstown 23 (Ward 2),285,102,7,40,0,0,9,
Clarkstown 24 (Ward 4),234,265,27,20,0,0,25,
Clarkstown 25 (Ward 1),131,152,11,8,0,0,8,
Clarkstown 26 (Ward 1),113,163,8,4,1,0,8,
Clarkstown 27 (Ward 4),212,291,34,5,0,0,12,
Clarkstown 28 (Ward 3),170,196,20,17,0,0,10,
Clarkstown 29 (Ward 1),236,198,33,11,0,0,23,
Clarkstown 30 (Ward 4),146,225,19,8,0,0,18,
Clarkstown 31 (Ward 4),294,283,19,13,0,0,12,
Clarkstown 32 (Ward 4),226,191,16,11,2,0,10,
Clarkstown 33 (Ward 3),111,129,8,6,0,1,10,
Clarkstown 34 (Ward 3),264,283,37,16,1,0,16,
Clarkstown 35 (Ward 3),176,78,4,9,0,0,7,
Clarkstown 36 (Ward 1),315,289,35,10,0,0,12,
Clarkstown 37 (Ward 1),238,191,24,6,0,1,10,
Clarkstown 38 (Ward 2),229,212,29,15,0,1,13,
Clarkstown 39 (Ward 3),161,124,15,14,0,0,14,
Clarkstown 40 (Ward 1),193,174,17,15,0,0,9,
Clarkstown 41 (Ward 3),220,92,12,6,0,0,11,
Clarkstown 42 (Ward 2),169,248,14,17,0,0,8,
Clarkstown 43 (Ward 2),331,252,28,24,0,0,12,
Clarkstown 44 (Ward 3),245,235,34,15,0,0,22,
Clarkstown 45 (Ward 3),157,227,31,8,0,0,15,
Clarkstown 46 (Ward 1),113,144,17,6,0,0,8,
Clarkstown 47 (Ward 3),238,249,18,14,0,1,24,
Clarkstown 48 (Ward 4),135,140,16,3,0,0,9,
Clarkstown 49 (Ward 3),297,70,9,28,0,0,9,
Clarkstown 50 (Ward 3),98,173,11,2,1,0,3,
Clarkstown 51 (Ward 2),253,250,25,23,0,1,12,
Clarkstown 52 (Ward 1),161,160,15,5,0,0,8,
Clarkstown 53 (Ward 1),149,144,14,8,0,0,6,
Clarkstown 54 (Ward 2),261,90,3,37,0,0,8,
Clarkstown 55 (Ward 2),203,236,25,13,0,0,9,
Clarkstown 56 (Ward 1),161,151,9,8,0,0,10,
Clarkstown 57 (Ward 3),234,248,18,9,0,0,20,
Clarkstown 58 (Ward 2),145,115,11,3,0,0,13,
Clarkstown 59 (Ward 1),235,211,29,23,0,0,5,
Clarkstown 60 (Ward 1),237,208,19,17,3,0,21,
Clarkstown 61 (Ward 2),179,312,25,3,0,2,12,
Clarkstown 62 (Ward 3),13,0,0,0,0,0,2,
Clarkstown 63 (Ward 2),150,136,15,16,0,0,12,
Clarkstown 64 (Ward 2),191,123,19,11,1,0,9,
Clarkstown 65 (Ward 4),163,243,24,8,0,1,11,
Clarkstown 66 (Ward 4),199,117,14,9,0,0,9,
Clarkstown 67 (Ward 1),237,249,21,16,0,0,12,
Clarkstown 68 (Ward 1),269,217,16,12,0,0,8,
Clarkstown 69 (Ward 1),239,136,6,12,0,0,9,
Clarkstown 70 (Ward 3),122,218,33,6,0,1,18,
Clarkstown 71 (Ward 4),69,116,9,2,0,0,7,
Clarkstown 72 (Ward 1),220,210,31,10,0,0,16,
Clarkstown 73 (Ward 2),423,323,34,9,0,0,43,
Clarkstown 74 (Ward 1),272,246,34,19,0,0,17,
Clarkstown 75 (Ward 4),289,203,27,14,0,0,20,
Clarkstown 76 (Ward 4),135,46,12,5,0,0,11,
Clarkstown 77 (Ward 2),120,152,7,10,0,0,0,
Clarkstown 78 (Ward 2),128,136,20,7,0,0,14,
Clarkstown 79 (Ward 4),250,85,27,12,0,0,20,
Clarkstown 80 (Ward 4),155,96,10,14,0,0,7,
Clarkstown 81 (Ward 3),228,273,29,17,0,1,18,
Clarkstown 82 (Ward 2),169,194,25,9,1,0,6,
