PRECINCT NAME,Member of Assembly 96th Assembly District,Member of Assembly 96th Assembly District,Member of Assembly 96th Assembly District,Member of Assembly 96th Assembly District,Member of Assembly 96th Assembly District,                                                                                                                                    
,DEM,REP,,,,                                                                                                                                                                          
,Kenneth P. Zebrowski,Brett L. Yagel,WRITE-IN,OVER VOTES,UNDER VOTES,                                                                                                                 
Clarkstown 1 (Ward 1),202,172,1,0,20,
Clarkstown 2 (Ward 2),280,269,0,0,16,
Clarkstown 3 (Ward 3),124,186,0,0,11,
Clarkstown 4 (Ward 2),259,51,0,1,10,
Clarkstown 5 (Ward 3),121,138,2,1,18,
Clarkstown 6 (Ward 3),118,56,0,0,9,
Clarkstown 7 (Ward 2),108,186,1,1,26,
Clarkstown 8 (Ward 2),182,208,1,0,31,
Clarkstown 9 (Ward 1),337,256,1,0,22,
Clarkstown 10 (Ward 4),226,27,3,0,26,
Clarkstown 11 (Ward 4),305,265,0,0,22,
Clarkstown 12 (Ward 3),157,210,0,0,9,
Clarkstown 13 (Ward 1),180,185,1,0,18,
Clarkstown 14 (Ward 2),122,181,1,0,18,
Clarkstown 15 (Ward 3),210,171,0,1,17,
Clarkstown 16 (Ward 1),183,143,0,1,9,
Clarkstown 17 (Ward 2),198,245,0,1,28,
Clarkstown 18 (Ward 3),87,72,0,0,8,
Clarkstown 19 (Ward 4),243,274,2,0,34,
Clarkstown 20 (Ward 3),130,25,0,0,10,
Clarkstown 21 (Ward 4),129,12,7,0,19,
Clarkstown 22 (Ward 1),157,88,0,1,14,
Clarkstown 23 (Ward 2),321,101,0,0,21,
Clarkstown 24 (Ward 4),296,242,0,0,33,
Clarkstown 25 (Ward 1),147,148,0,0,15,
Clarkstown 26 (Ward 1),143,143,1,0,10,
Clarkstown 27 (Ward 4),260,275,1,0,18,
Clarkstown 28 (Ward 3),202,187,0,0,24,
Clarkstown 29 (Ward 1),279,190,0,0,32,
Clarkstown 30 (Ward 4),197,197,0,0,22,
Clarkstown 31 (Ward 4),322,284,0,0,15,
Clarkstown 32 (Ward 4),260,178,1,0,17,
Clarkstown 33 (Ward 3),124,129,0,0,12,
Clarkstown 34 (Ward 3),293,288,1,0,35,
Clarkstown 35 (Ward 3),184,79,0,0,11,
Clarkstown 36 (Ward 1),350,289,0,0,22,
Clarkstown 37 (Ward 1),271,185,0,0,14,
Clarkstown 38 (Ward 2),259,219,0,0,21,
Clarkstown 39 (Ward 3),187,122,0,0,19,
Clarkstown 40 (Ward 1),226,171,0,0,11,
Clarkstown 41 (Ward 3),226,96,0,0,19,
Clarkstown 42 (Ward 2),202,234,0,0,20,
Clarkstown 43 (Ward 2),372,250,0,0,25,
Clarkstown 44 (Ward 3),294,230,0,0,27,
Clarkstown 45 (Ward 3),185,236,0,0,17,
Clarkstown 46 (Ward 1),138,138,0,0,12,
Clarkstown 47 (Ward 3),269,243,0,0,32,
Clarkstown 48 (Ward 4),148,142,0,0,13,
Clarkstown 49 (Ward 3),318,71,0,0,24,
Clarkstown 50 (Ward 3),115,166,0,0,7,
Clarkstown 51 (Ward 2),283,251,0,0,30,
Clarkstown 52 (Ward 1),185,153,0,0,11,
Clarkstown 53 (Ward 1),167,132,0,0,22,
Clarkstown 54 (Ward 2),292,89,0,0,18,
Clarkstown 55 (Ward 2),233,235,1,0,17,
Clarkstown 56 (Ward 1),193,137,0,1,8,
Clarkstown 57 (Ward 3),273,234,0,0,22,
Clarkstown 58 (Ward 2),156,116,0,1,14,
Clarkstown 59 (Ward 1),275,213,0,0,15,
Clarkstown 60 (Ward 1),280,196,0,0,29,
Clarkstown 61 (Ward 2),206,305,0,1,21,
Clarkstown 62 (Ward 3),12,0,0,0,3,
Clarkstown 63 (Ward 2),179,131,1,0,18,
Clarkstown 64 (Ward 2),213,123,0,0,18,
