PRECINCT NAME,Member of Assembly 99th Assembly District,Member of Assembly 99th Assembly District,Member of Assembly 99th Assembly District,Member of Assembly 99th Assembly District,Member of Assembly 99th Assembly District,Member of Assembly 99th Assembly District,                                                                                                                                                                                            
,DEM,REP,CON,,,,                                                                                                                                                                    
,Christopher W. Eachus,Kathryn D. Luciani,Kathryn D. Luciani,WRITE-IN,OVER VOTES,UNDER VOTES,                                                                                                                                                                                           
Stony Point 1,131,200,30,0,0,28,
Stony Point 2,212,279,36,0,0,20,
Stony Point 3,103,248,32,1,0,22,
Stony Point 4,173,368,33,0,0,14,
Stony Point 5,104,177,18,1,0,16,
Stony Point 6,140,263,24,0,1,31,
Stony Point 7,170,331,29,0,0,29,
Stony Point 8,147,348,39,0,0,16,
Stony Point 9,116,197,16,0,0,11,
Stony Point 10,101,205,18,0,0,21,
Stony Point 11,132,244,20,0,0,18,
Stony Point 12,143,290,38,0,0,22,
Stony Point 13,140,241,22,0,0,11,
Stony Point 14,77,180,14,0,0,11,
COUNTY TOTALS,1889,3571,369,2,1,270,
