PRECINCT NAME,Attorney General,Attorney General,Attorney General,Attorney General,Attorney General,Attorney General,Attorney General,                                                                                                                       
,DEM,REP,CON,WOR,,,,                                                                                                                                                              
,Letitia A. James,Michael Henry,Michael Henry,Letitia A. James,WRITE-IN,OVER VOTES,UNDER VOTES,                                                                                                                                                                                       
Clarkstown 1 (Ward 1),177,187,18,3,0,0,10,
Clarkstown 2 (Ward 2),246,277,23,15,0,0,4,
Clarkstown 3 (Ward 3),91,203,12,9,1,0,5,
Clarkstown 4 (Ward 2),219,60,5,33,0,0,4,
Clarkstown 5 (Ward 3),89,149,25,5,2,0,10,
Clarkstown 6 (Ward 3),104,61,2,12,0,0,4,
Clarkstown 7 (Ward 2),92,188,26,7,0,1,8,
Clarkstown 8 (Ward 2),148,222,24,13,1,0,14,
Clarkstown 9 (Ward 1),289,277,25,11,0,1,13,
Clarkstown 10 (Ward 4),232,25,3,9,0,0,13,
Clarkstown 11 (Ward 4),243,290,28,22,0,0,9,
Clarkstown 12 (Ward 3),142,201,17,11,0,0,5,
Clarkstown 13 (Ward 1),152,198,18,9,0,2,5,
Clarkstown 14 (Ward 2),98,179,29,9,0,0,7,
Clarkstown 15 (Ward 3),177,182,12,12,0,1,15,
Clarkstown 16 (Ward 1),146,153,19,12,0,0,6,
Clarkstown 17 (Ward 2),173,242,28,9,1,0,19,
Clarkstown 18 (Ward 3),73,77,7,6,0,0,4,
Clarkstown 19 (Ward 4),202,285,43,14,0,0,9,
Clarkstown 20 (Ward 3),124,25,5,7,0,0,4,
Clarkstown 21 (Ward 4),136,12,3,1,0,0,15,
Clarkstown 22 (Ward 1),141,93,8,9,1,0,8,
Clarkstown 23 (Ward 2),273,104,8,50,0,0,8,
Clarkstown 24 (Ward 4),236,275,26,21,0,1,12,
Clarkstown 25 (Ward 1),126,151,13,10,0,1,9,
Clarkstown 26 (Ward 1),121,160,9,4,1,0,2,
Clarkstown 27 (Ward 4),205,303,29,9,0,0,8,
Clarkstown 28 (Ward 3),168,198,16,18,0,0,13,
Clarkstown 29 (Ward 1),244,201,34,10,0,0,12,
Clarkstown 30 (Ward 4),154,225,19,5,0,0,13,
Clarkstown 31 (Ward 4),297,279,21,17,0,0,7,
Clarkstown 32 (Ward 4),223,196,15,13,0,0,9,
Clarkstown 33 (Ward 3),113,127,11,7,0,0,7,
Clarkstown 34 (Ward 3),261,292,42,14,0,0,8,
Clarkstown 35 (Ward 3),179,79,5,8,0,0,3,
Clarkstown 36 (Ward 1),315,285,34,17,0,0,10,
Clarkstown 37 (Ward 1),239,197,20,5,0,0,9,
Clarkstown 38 (Ward 2),236,212,27,13,0,0,11,
Clarkstown 39 (Ward 3),149,137,20,12,0,0,10,
Clarkstown 40 (Ward 1),194,177,17,15,0,0,5,
Clarkstown 41 (Ward 3),222,97,10,4,0,0,8,
Clarkstown 42 (Ward 2),161,254,18,14,0,0,9,
Clarkstown 43 (Ward 2),330,254,28,28,0,0,7,
Clarkstown 44 (Ward 3),247,237,33,20,0,0,14,
Clarkstown 45 (Ward 3),153,239,28,8,0,0,10,
Clarkstown 46 (Ward 1),116,139,21,7,1,0,4,
Clarkstown 47 (Ward 3),242,256,21,14,0,0,11,
Clarkstown 48 (Ward 4),136,140,17,4,0,0,6,
Clarkstown 49 (Ward 3),287,72,7,39,0,0,8,
Clarkstown 50 (Ward 3),101,167,11,2,0,0,7,
Clarkstown 51 (Ward 2),247,254,31,24,0,0,8,
Clarkstown 52 (Ward 1),157,167,17,5,0,0,3,
Clarkstown 53 (Ward 1),145,141,12,10,0,0,13,
Clarkstown 54 (Ward 2),250,91,8,40,0,0,10,
Clarkstown 55 (Ward 2),206,233,23,13,0,0,11,
Clarkstown 56 (Ward 1),164,147,11,10,0,0,7,
