PRECINCT NAME,Governor and Lieutenant Governor,Governor and Lieutenant Governor,Governor and Lieutenant Governor,Governor and Lieutenant Governor,Governor and Lieutenant Governor,Governor and Lieutenant Governor,Governor and Lieutenant Governor,                                                                                                           
,DEM,REP,CON,WOR,,,,                                                                                                                                                              
,Kathy C. Hochul,Lee Zeldin,Lee Zeldin,Kathy C. Hochul,WRITE-IN,OVER VOTES,UNDER VOTES,                                                                                                                                                                                               
Clarkstown 1 (Ward 1),182,188,17,5,0,0,3,
Clarkstown 2 (Ward 2),241,286,23,12,0,1,2,
Clarkstown 3 (Ward 3),85,207,14,10,1,0,4,
Clarkstown 4 (Ward 2),226,61,5,26,1,0,2,
Clarkstown 5 (Ward 3),92,155,26,5,1,0,1,
Clarkstown 6 (Ward 3),108,64,2,9,0,0,0,
Clarkstown 7 (Ward 2),91,195,26,8,0,0,2,
Clarkstown 8 (Ward 2),154,225,24,13,2,0,4,
Clarkstown 9 (Ward 1),286,296,22,8,1,0,3,
Clarkstown 10 (Ward 4),229,37,5,8,0,2,1,
Clarkstown 11 (Ward 4),232,313,22,21,1,0,3,
Clarkstown 12 (Ward 3),136,214,14,10,0,0,2,
Clarkstown 13 (Ward 1),148,207,19,7,1,0,2,
Clarkstown 14 (Ward 2),104,180,24,9,0,0,5,
Clarkstown 15 (Ward 3),179,192,16,10,0,0,2,
Clarkstown 16 (Ward 1),149,158,19,10,0,0,0,
Clarkstown 17 (Ward 2),177,257,27,6,1,0,4,
Clarkstown 18 (Ward 3),75,81,9,2,0,0,0,
Clarkstown 19 (Ward 4),202,302,36,10,1,0,2,
Clarkstown 20 (Ward 3),126,25,6,3,0,0,5,
Clarkstown 21 (Ward 4),138,16,2,4,3,0,4,
Clarkstown 22 (Ward 1),137,106,5,9,1,0,2,
Clarkstown 23 (Ward 2),280,103,7,49,0,0,4,
Clarkstown 24 (Ward 4),236,286,25,18,1,0,5,
Clarkstown 25 (Ward 1),124,165,9,8,0,0,4,
Clarkstown 26 (Ward 1),120,160,8,4,1,0,4,
Clarkstown 27 (Ward 4),212,299,31,9,1,0,2,
Clarkstown 28 (Ward 3),170,201,17,19,0,0,6,
Clarkstown 29 (Ward 1),247,205,35,11,2,0,1,
Clarkstown 30 (Ward 4),156,233,18,8,0,0,1,
Clarkstown 31 (Ward 4),307,280,18,13,0,0,3,
Clarkstown 32 (Ward 4),226,201,16,10,0,0,3,
Clarkstown 33 (Ward 3),111,139,7,6,0,0,2,
Clarkstown 34 (Ward 3),264,302,34,13,2,0,2,
Clarkstown 35 (Ward 3),180,82,4,7,0,0,1,
Clarkstown 36 (Ward 1),320,289,33,14,0,0,5,
Clarkstown 37 (Ward 1),241,197,23,7,0,0,2,
Clarkstown 38 (Ward 2),232,224,26,13,0,0,4,
Clarkstown 39 (Ward 3),158,139,15,11,0,0,5,
Clarkstown 40 (Ward 1),188,187,17,13,0,0,3,
Clarkstown 41 (Ward 3),217,101,11,7,0,1,4,
Clarkstown 42 (Ward 2),163,259,19,14,0,0,1,
Clarkstown 43 (Ward 2),325,265,28,26,0,0,3,
Clarkstown 44 (Ward 3),253,250,33,13,0,0,2,
Clarkstown 45 (Ward 3),151,249,29,7,0,0,2,
Clarkstown 46 (Ward 1),115,146,18,5,2,0,2,
Clarkstown 47 (Ward 3),242,271,16,12,1,0,2,
Clarkstown 48 (Ward 4),130,150,17,5,0,0,1,
Clarkstown 49 (Ward 3),290,78,8,34,0,0,3,
Clarkstown 50 (Ward 3),97,174,13,3,0,0,1,
Clarkstown 51 (Ward 2),254,258,26,23,0,1,2,
Clarkstown 52 (Ward 1),162,165,16,3,1,0,2,
Clarkstown 53 (Ward 1),148,150,13,8,0,1,1,
Clarkstown 54 (Ward 2),255,94,7,39,1,0,3,
Clarkstown 55 (Ward 2),205,239,25,14,1,0,2,
Clarkstown 56 (Ward 1),167,150,14,7,0,0,1,
Clarkstown 57 (Ward 3),234,257,20,11,1,0,6,
Clarkstown 58 (Ward 2),153,116,13,2,0,1,2,
Clarkstown 59 (Ward 1),239,214,30,19,0,0,1,
Clarkstown 60 (Ward 1),240,219,26,15,1,0,4,
Clarkstown 61 (Ward 2),183,320,24,3,0,1,2,
Clarkstown 62 (Ward 3),12,0,1,0,0,0,2,
Clarkstown 63 (Ward 2),148,149,13,15,0,1,3,
Clarkstown 64 (Ward 2),187,134,19,10,0,0,4,
Clarkstown 65 (Ward 4),153,265,21,10,0,0,1,
Clarkstown 66 (Ward 4),196,126,12,11,1,0,2,
Clarkstown 67 (Ward 1),236,260,23,13,0,0,3,
Clarkstown 68 (Ward 1),283,205,20,11,0,0,3,
Clarkstown 69 (Ward 1),239,140,4,18,0,1,0,
Clarkstown 70 (Ward 3),123,236,28,8,1,1,1,
Clarkstown 71 (Ward 4),67,121,10,1,0,0,4,
Clarkstown 72 (Ward 1),216,225,29,13,0,0,4,
Clarkstown 73 (Ward 2),431,337,35,17,0,0,12,
Clarkstown 74 (Ward 1),276,251,38,16,1,1,5,
Clarkstown 75 (Ward 4),290,225,25,11,0,0,2,
Clarkstown 76 (Ward 4),141,50,12,5,0,0,1,
Clarkstown 77 (Ward 2),119,151,8,10,1,0,0,
Clarkstown 78 (Ward 2),135,141,20,7,1,0,1,
Clarkstown 79 (Ward 4),254,99,30,11,0,0,0,
Clarkstown 80 (Ward 4),161,97,13,8,0,0,3,
Clarkstown 81 (Ward 3),230,290,25,16,0,1,4,
Clarkstown 82 (Ward 2),170,194,20,11,1,2,6,
Clarkstown 83 (Ward 4),227,138,9,18,0,0,3,
Clarkstown 84 (Ward 2),112,157,11,5,0,0,1,
Haverstraw 1,125,236,35,6,1,1,3,
Haverstraw 2,221,175,26,6,1,0,4,
Haverstraw 3,206,201,31,11,0,1,2,
Haverstraw 4,112,85,3,5,0,1,2,
Haverstraw 5,107,87,8,6,0,1,1,
Haverstraw 6,131,89,5,7,0,0,5,
Haverstraw 7,110,79,2,2,0,0,6,
Haverstraw 8,53,14,3,3,0,0,7,
Haverstraw 9,80,61,3,6,0,0,3,
Haverstraw 10,295,197,22,13,0,0,3,
Haverstraw 11,95,86,10,8,0,0,1,
Haverstraw 12,49,38,2,0,1,0,1,
Haverstraw 13,224,117,9,8,1,0,3,
