source_file,office,office_short_name,office_year,year,party,candidate,column_stem
data/elections/0GNYROCK_38TH_SENATE.xlsx,State Senator 38th Senatorial District,ssd,ssd_20,2020,DEM,Elijah Reichlin- Melnick,ssd_20_dem
data/elections/0GNYROCK_38TH_SENATE.xlsx,State Senator 38th Senatorial District,ssd,ssd_20,2020,REP,Bill Weber,ssd_20_rep
data/elections/0GNYROCK_38TH_SENATE.xlsx,State Senator 38th Senatorial District,ssd,ssd_20,2020,WOR,Elijah Reichlin- Melnick,ssd_20_wor
data/elections/0GNYROCK_38TH_SENATE.xlsx,State Senator 38th Senatorial District,ssd,ssd_20,2020,SAM,Bill Weber,ssd_20_sam
data/elections/0GNYROCK_39TH_SENATE.xlsx,State Senator 39th Senatorial District,ssd,ssd_20,2020,DEM,James G. Skoufis,ssd_20_dem
data/elections/0GNYROCK_39TH_SENATE.xlsx,State Senator 39th Senatorial District,ssd,ssd_20,2020,REP,Steve Brescia,ssd_20_rep
data/elections/0GNYROCK_39TH_SENATE.xlsx,State Senator 39th Senatorial District,ssd,ssd_20,2020,CON,Steve Brescia,ssd_20_con
data/elections/0GNYROCK_39TH_SENATE.xlsx,State Senator 39th Senatorial District,ssd,ssd_20,2020,WOR,James G. Skoufis,ssd_20_wor
data/elections/0GNYROCK_39TH_SENATE.xlsx,State Senator 39th Senatorial District,ssd,ssd_20,2020,SAM,James G. Skoufis,ssd_20_sam
data/elections/0GNYROCK_96TH_ASSEMBLY.xlsx,Member of Assembly 96th Assembly District,shd,shd_20,2020,DEM,Kenneth P. Zebrowski,shd_20_dem
data/elections/0GNYROCK_96TH_ASSEMBLY.xlsx,Member of Assembly 96th Assembly District,shd,shd_20,2020,WOR,Kenneth P. Zebrowski,shd_20_wor
data/elections/0GNYROCK_96TH_ASSEMBLY.xlsx,Member of Assembly 96th Assembly District,shd,shd_20,2020,SAM,Kenneth P. Zebrowski,shd_20_sam
data/elections/0GNYROCK_97TH_ASSEMBLY.xlsx,Member of Assembly 97th Assembly District,shd,shd_20,2020,DEM,Ellen C. Jaffee,shd_20_dem
data/elections/0GNYROCK_97TH_ASSEMBLY.xlsx,Member of Assembly 97th Assembly District,shd,shd_20,2020,REP,Mike Lawler,shd_20_rep
data/elections/0GNYROCK_97TH_ASSEMBLY.xlsx,Member of Assembly 97th Assembly District,shd,shd_20,2020,CON,Mike Lawler,shd_20_con
data/elections/0GNYROCK_97TH_ASSEMBLY.xlsx,Member of Assembly 97th Assembly District,shd,shd_20,2020,IND,Mike Lawler,shd_20_ind
data/elections/0GNYROCK_97TH_ASSEMBLY.xlsx,Member of Assembly 97th Assembly District,shd,shd_20,2020,SAM,Mike Lawler,shd_20_sam
data/elections/0GNYROCK_98TH_ASSEMBLY.xlsx,Member of Assembly 98th Assembly District,shd,shd_20,2020,REP,Karl A. Brabenec,shd_20_rep
data/elections/0GNYROCK_98TH_ASSEMBLY.xlsx,Member of Assembly 98th Assembly District,shd,shd_20,2020,CON,Karl A. Brabenec,shd_20_con
data/elections/0GNYROCK_98TH_ASSEMBLY.xlsx,Member of Assembly 98th Assembly District,shd,shd_20,2020,IND,Karl A. Brabenec,shd_20_ind
data/elections/0GNYROCK_99TH_ASSEMBLY.xlsx,Member of Assembly 99th Assembly District,shd,shd_20,2020,DEM,Sarita Bhandarkar,shd_20_dem
data/elections/0GNYROCK_99TH_ASSEMBLY.xlsx,Member of Assembly 99th Assembly District,shd,shd_20,2020,REP,Colin J. Schmitt,shd_20_rep
data/elections/0GNYROCK_99TH_ASSEMBLY.xlsx,Member of Assembly 99th Assembly District,shd,shd_20,2020,CON,Colin J. Schmitt,shd_20_con
data/elections/0GNYROCK_99TH_ASSEMBLY.xlsx,Member of Assembly 99th Assembly District,shd,shd_20,2020,WOR,Sarita Bhandarkar,shd_20_wor
data/elections/0GNYROCK_99TH_ASSEMBLY.xlsx,Member of Assembly 99th Assembly District,shd,shd_20,2020,LIB,Colin J. Schmitt,shd_20_lib
data/elections/0GNYROCK_99TH_ASSEMBLY.xlsx,Member of Assembly 99th Assembly District,shd,shd_20,2020,IND,Colin J. Schmitt,shd_20_ind
data/elections/0GNYROCK_99TH_ASSEMBLY.xlsx,Member of Assembly 99th Assembly District,shd,shd_20,2020,SAM,Colin J. Schmitt,shd_20_sam
data/elections/0GNYROCK_COUNTY_CLERK.xlsx,County Clerk,clk,clk_20,2020,DEM,Donna Gorman Silberman,clk_20_dem
data/elections/0GNYROCK_COUNTY_CLERK.xlsx,County Clerk,clk,clk_20,2020,REP,Patrick J. Carle,clk_20_rep
data/elections/0GNYROCK_COUNTY_CLERK.xlsx,County Clerk,clk,clk_20,2020,IND,Donna Gorman Silberman,clk_20_ind
data/elections/0GNYROCK_PRESIDENT.xlsx,Presidential Electors for President and Vice President,pre,pre_20,2020,DEM,Joseph R. Biden,pre_20_dem
data/elections/0GNYROCK_PRESIDENT.xlsx,Presidential Electors for President and Vice President,pre,pre_20,2020,REP,Donald J. Trump,pre_20_rep
data/elections/0GNYROCK_PRESIDENT.xlsx,Presidential Electors for President and Vice President,pre,pre_20,2020,CON,Donald J. Trump,pre_20_con
data/elections/0GNYROCK_PRESIDENT.xlsx,Presidential Electors for President and Vice President,pre,pre_20,2020,WOR,Joseph R. Biden,pre_20_wor
data/elections/0GNYROCK_PRESIDENT.xlsx,Presidential Electors for President and Vice President,pre,pre_20,2020,GRE,Howie Hawkins,pre_20_gre
data/elections/0GNYROCK_PRESIDENT.xlsx,Presidential Electors for President and Vice President,pre,pre_20,2020,LIB,Jo Jorgensen,pre_20_lib
data/elections/0GNYROCK_PRESIDENT.xlsx,Presidential Electors for President and Vice President,pre,pre_20,2020,IND,Brock Pierce,pre_20_ind
data/elections/0GNYROCK_REP_IN_CONGRESS.xlsx,Representative in Congress,ush,ush_20,2020,DEM,Mondaire Jones,ush_20_dem
data/elections/0GNYROCK_REP_IN_CONGRESS.xlsx,Representative in Congress,ush,ush_20,2020,REP,Maureen McArdle Schulman,ush_20_rep
data/elections/0GNYROCK_REP_IN_CONGRESS.xlsx,Representative in Congress,ush,ush_20,2020,CON,Yehudis Gottesfeld,ush_20_con
data/elections/0GNYROCK_REP_IN_CONGRESS.xlsx,Representative in Congress,ush,ush_20,2020,WOR,Mondaire Jones,ush_20_wor
data/elections/0GNYROCK_REP_IN_CONGRESS.xlsx,Representative in Congress,ush,ush_20,2020,SAM,Michael I. Parietti,ush_20_sam
data/elections/0GNYROCK_REP_IN_CONGRESS.xlsx,Representative in Congress,ush,ush_20,2020,ECL,Joshua Eisen,ush_20_ecl
data/elections/0GNYROCK_SUPREME_COURT.xlsx,Justice of the Supreme Court 9th Judicial District,spc,spc_20,2020,DEM,E. Loren Williams,spc_20_dem
data/elections/0GNYROCK_SUPREME_COURT.xlsx,Justice of the Supreme Court 9th Judicial District,spc,spc_20,2020,DEM,Alexandra D. Murphy,spc_20_dem
data/elections/0GNYROCK_SUPREME_COURT.xlsx,Justice of the Supreme Court 9th Judicial District,spc,spc_20,2020,DEM,Robert S. Ondrovic,spc_20_dem
data/elections/0GNYROCK_SUPREME_COURT.xlsx,Justice of the Supreme Court 9th Judicial District,spc,spc_20,2020,DEM,Sam D. Walker,spc_20_dem
data/elections/0GNYROCK_SUPREME_COURT.xlsx,Justice of the Supreme Court 9th Judicial District,spc,spc_20,2020,REP,Richard J. Guertin,spc_20_rep
data/elections/0GNYROCK_SUPREME_COURT.xlsx,Justice of the Supreme Court 9th Judicial District,spc,spc_20,2020,REP,Mark T. Starkman,spc_20_rep
data/elections/0GNYROCK_SUPREME_COURT.xlsx,Justice of the Supreme Court 9th Judicial District,spc,spc_20,2020,REP,David V. Hasin,spc_20_rep
data/elections/0GNYROCK_SUPREME_COURT.xlsx,Justice of the Supreme Court 9th Judicial District,spc,spc_20,2020,REP,Sam D. Walker,spc_20_rep
data/elections/0GNYROCK_SUPREME_COURT.xlsx,Justice of the Supreme Court 9th Judicial District,spc,spc_20,2020,CON,Richard J. Guertin,spc_20_con
data/elections/0GNYROCK_SUPREME_COURT.xlsx,Justice of the Supreme Court 9th Judicial District,spc,spc_20,2020,CON,Alexandra D. Murphy,spc_20_con
data/elections/0GNYROCK_SUPREME_COURT.xlsx,Justice of the Supreme Court 9th Judicial District,spc,spc_20,2020,CON,Robert S. Ondrovic,spc_20_con
data/elections/0GNYROCK_SUPREME_COURT.xlsx,Justice of the Supreme Court 9th Judicial District,spc,spc_20,2020,CON,Sam D. Walker,spc_20_con
data/elections/22GENYRO_97th_Assembly_District.xlsx,COUNTY NUMBER,shd,shd_22,2022,"""""","""""","shd_22_"""""
data/elections/22GENYRO_97th_Assembly_District.xlsx,Member of Assembly 97th Assembly District,shd,shd_22,2022,DEM,Eudson Tyson Francois,shd_22_dem
data/elections/22GENYRO_97th_Assembly_District.xlsx,Member of Assembly 97th Assembly District,shd,shd_22,2022,REP,John W. McGowan,shd_22_rep
data/elections/22GENYRO_97th_Assembly_District.xlsx,Member of Assembly 97th Assembly District,shd,shd_22,2022,CON,John W. McGowan,shd_22_con
data/elections/22GENYRO_98th_Assembly_District.xlsx,COUNTY NUMBER,shd,shd_22,2022,"""""","""""","shd_22_"""""
data/elections/22GENYRO_98th_Assembly_District.xlsx,Member of Assembly 98th Assembly District,shd,shd_22,2022,DEM,Bruce M. Levine,shd_22_dem
data/elections/22GENYRO_98th_Assembly_District.xlsx,Member of Assembly 98th Assembly District,shd,shd_22,2022,REP,Karl A. Brabenec,shd_22_rep
